FileName,Well,Sample Description,Peak,Size [bp],Calibrated Conc. [ng/µl],Assigned Conc. [ng/µl],Peak Comment,Peak Molarity [nmol/l],From [bp],To [bp],% Integrated Area,Area,% of Total,Run Distance [%],From [%],To [%],Height,Observations
gDNA - 2023-04-14 - 23.39.25.gDNA,D1,FastSpin-HT-Organic-3,,100,8.5,8.5,,131,67,149,,1,,86.9,84.7,89,842.441,Lower Marker
gDNA - 2023-04-14 - 23.39.25.gDNA,D1,FastSpin-HT-Organic-3,1,10631,14.5,,,2.1,4181,24886,97.65,1.71,75.17,48.7,45.7,53.2,723.272,
gDNA - 2023-04-14 - 23.39.25.gDNA,D1,FastSpin-HT-Organic-3,2,>60000,0.261,,,,>60000,>60000,1.76,0.03,1.35,40.2,38.2,40.7,20.593,
gDNA - 2023-04-14 - 23.39.25.gDNA,D1,FastSpin-HT-Organic-3,3,,,,,,,,,0.01,,5.1,,,,Sample Well
gDNA - 2023-04-14 - 23.39.25.gDNA,E1,FastSpin-HT-Sand-Clay-1,,100,8.5,8.5,,131,64,189,,1,,87.4,83.9,89.9,595.082,Lower Marker
gDNA - 2023-04-14 - 23.39.25.gDNA,E1,FastSpin-HT-Sand-Clay-1,1,17678,3.23,,,0.281,5700,>60000,96.66,0.38,52.09,47.2,44,51.7,109.11,
gDNA - 2023-04-14 - 23.39.25.gDNA,E1,FastSpin-HT-Sand-Clay-1,2,,,,,,,,,0.01,,4.8,,,,Sample Well
gDNA - 2023-04-14 - 23.39.25.gDNA,F1,FastSpin-HT-Sand-Clay-2,,100,8.5,8.5,,131,66,151,,1,,87.4,85.2,89.7,684.49,Lower Marker
gDNA - 2023-04-14 - 23.39.25.gDNA,F1,FastSpin-HT-Sand-Clay-2,1,12701,3.37,,,0.409,5700,50166,98,0.4,28.58,48.4,45,51.7,101.494,
gDNA - 2023-04-14 - 23.39.25.gDNA,F1,FastSpin-HT-Sand-Clay-2,2,,,,,,,,,0.01,,4.8,,,,Sample Well
gDNA - 2023-04-14 - 23.39.25.gDNA,G1,FastSpin-HT-Sand-Clay-3,,100,8.5,8.5,,131,66,156,,1,,87.4,84.9,89.6,808.286,Lower Marker
gDNA - 2023-04-14 - 23.39.25.gDNA,G1,FastSpin-HT-Sand-Clay-3,1,15782,5.54,,,0.54,5173,58550,89.66,0.65,49.17,47.6,44.3,52.2,208.54,
gDNA - 2023-04-14 - 23.39.25.gDNA,G1,FastSpin-HT-Sand-Clay-3,2,>60000,0.117,,,,>60000,>60000,1.9,0.01,1.04,7.3,6.3,8.6,12.266,
gDNA - 2023-04-14 - 23.39.25.gDNA,G1,FastSpin-HT-Sand-Clay-3,3,,,,,,,,,0.06,,4.9,,,,Sample Well
gDNA - 2023-04-14 - 23.39.25.gDNA,H1,FastSpin-HT-Sand-1,,100,8.5,8.5,,131,66,167,,1,,87,84.2,89.2,1039.92,Lower Marker
gDNA - 2023-04-14 - 23.39.25.gDNA,H1,FastSpin-HT-Sand-1,1,10158,6.66,,,1.01,3680,25664,98.13,0.78,45.66,48.9,45.7,54.5,237.041,
gDNA - 2023-04-14 - 23.39.25.gDNA,H1,FastSpin-HT-Sand-1,2,,,,,,,,,0.01,,5.1,,,,Sample Well
gDNA - 2023-04-14 - 23.39.25.gDNA,A2,FastSpin-HT-Sand-2,,100,8.5,8.5,,131,66,184,,1,,87,83.7,89.3,543.678,Lower Marker
gDNA - 2023-04-14 - 23.39.25.gDNA,A2,FastSpin-HT-Sand-2,1,2462,1.74,,,1.09,1964,2517,100,0.2,11.04,59.4,59.1,62,76.212,
gDNA - 2023-04-14 - 23.39.25.gDNA,B2,FastSpin-HT-Sand-3,,100,8.5,8.5,,131,67,163,,1,,87.1,84.4,89.3,575.133,Lower Marker
gDNA - 2023-04-14 - 23.39.25.gDNA,B2,FastSpin-HT-Sand-3,1,11473,10.4,,,1.39,4825,49048,97.07,1.22,46.27,48.6,44.9,52.5,318.973,
gDNA - 2023-04-14 - 23.39.25.gDNA,B2,FastSpin-HT-Sand-3,2,,,,,,,,,0.04,,4.8,,,,Sample Well
gDNA - 2023-04-14 - 23.39.25.gDNA,C2,FastSpin-HT-Clay-1,,100,8.5,8.5,,131,69,153,,1,,86.6,84.3,88.7,219.007,Lower Marker
gDNA - 2023-04-14 - 23.39.25.gDNA,C2,FastSpin-HT-Clay-1,1,9200,68.4,,,11.4,3410,24971,99.78,8.05,58.91,49.1,45.6,55.1,521.438,
gDNA - 2023-04-14 - 23.39.25.gDNA,C2,FastSpin-HT-Clay-1,2,,,,,,,,,0.02,,4.9,,,,Sample Well
gDNA - 2023-04-14 - 23.39.25.gDNA,D2,FastSpin-HT-Clay-2,,100,8.5,8.5,,131,67,146,,1,,86.2,84.1,88.3,195.074,Lower Marker
gDNA - 2023-04-14 - 23.39.25.gDNA,D2,FastSpin-HT-Clay-2,1,8657,105,,,18.7,3258,22387,99.6,12.38,67.73,49,45.7,55.4,804.641,
gDNA - 2023-04-14 - 23.39.25.gDNA,D2,FastSpin-HT-Clay-2,2,,,,,,,,,0.05,,4.9,,,,Sample Well
gDNA - 2023-04-14 - 23.39.25.gDNA,E2,FastSpin-HT-Clay-3,,100,8.5,8.5,,131,69,161,,1,,87,84.4,89.1,124.769,Lower Marker
gDNA - 2023-04-14 - 23.39.25.gDNA,E2,FastSpin-HT-Clay-3,1,8428,97.2,,,17.7,3296,23993,99.7,11.44,63.91,49.6,45.9,55.8,512.449,
gDNA - 2023-04-14 - 23.39.25.gDNA,E2,FastSpin-HT-Clay-3,2,,,,,,,,,0.03,,4.9,,,,Sample Well
gDNA - 2023-04-14 - 23.39.25.gDNA,F2,FastSpin-HT-Beach-Sand-1,,100,8.5,8.5,,131,64,187,,1,,86.7,83.3,89.1,622.555,Lower Marker
gDNA - 2023-04-14 - 23.39.25.gDNA,F2,FastSpin-HT-Beach-Sand-1,1,12608,1.5,,,0.183,5655,44516,100,0.18,24.42,48,44.8,51.3,49.697,
gDNA - 2023-04-14 - 23.39.25.gDNA,G2,FastSpin-HT-Beach-Sand-2,,100,8.5,8.5,,131,64,154,,1,,86.9,84.5,89.3,858.675,Lower Marker
gDNA - 2023-04-14 - 23.39.25.gDNA,G2,FastSpin-HT-Beach-Sand-2,1,13774,1.36,,,0.151,6049,41549,100,0.16,29.67,47.8,44.9,51,63.342,
gDNA - 2023-04-14 - 23.39.25.gDNA,H2,FastSpin-HT-Beach-Sand-3,,100,8.5,8.5,,131,62,154,,1,,85.9,83.6,88.5,1090.137,Lower Marker
gDNA - 2023-04-14 - 23.39.25.gDNA,H2,FastSpin-HT-Beach-Sand-3,1,14892,0.801,,,0.0827,6394,49995,100,0.09,21.89,47,44.2,50.1,51.414,
