FileName,Well,Sample Description,Peak,Size [bp],Calibrated Conc. [ng/µl],Assigned Conc. [ng/µl],Peak Comment,Peak Molarity [nmol/l],From [bp],To [bp],% Integrated Area,Area,% of Total,Run Distance [%],From [%],To [%],Height,Observations
gDNA - 2023-04-14 - 22.48.43.gDNA,E1,ZymoMagbead-HT-Sand-Clay-1,1,18873,0.317,,,0.0258,8480,55723,100,0.04,23.72,46.4,44,49.2,16.084,
gDNA - 2023-04-14 - 22.48.43.gDNA,F1,ZymoMagbead-HT-Sand-Clay-2,,100,8.5,8.5,,131,65,157,,1,,86.4,84,88.8,841.397,Lower Marker
gDNA - 2023-04-14 - 22.48.43.gDNA,F1,ZymoMagbead-HT-Sand-Clay-2,1,26291,0.161,,,0.00941,23481,>60000,100,0.02,7.9,45.3,43.1,45.6,15.315,
gDNA - 2023-04-14 - 22.48.43.gDNA,G1,ZymoMagbead-HT-Sand-Clay-3,,100,8.5,8.5,,131,66,151,,1,,86.4,84.2,88.7,1058.07,Lower Marker
gDNA - 2023-04-14 - 22.48.43.gDNA,G1,ZymoMagbead-HT-Sand-Clay-3,1,18676,0.512,,,0.0422,7788,56296,100,0.06,28.41,46.4,43.9,49.5,31.319,
gDNA - 2023-04-14 - 22.48.43.gDNA,H1,ZymoMagbead-HT-Sand-1,,100,8.5,8.5,,131,67,147,,1,,86.1,84,88.3,1184.625,Lower Marker
gDNA - 2023-04-14 - 22.48.43.gDNA,H1,ZymoMagbead-HT-Sand-1,1,1356,0.0964,,,0.109,1318,1422,1.45,0.01,0.89,65.2,64.7,65.4,27.576,
gDNA - 2023-04-14 - 22.48.43.gDNA,H1,ZymoMagbead-HT-Sand-1,2,14116,6.48,,,0.706,5027,51142,97.68,0.76,60.01,47.2,44.1,51.6,385.141,
gDNA - 2023-04-14 - 22.48.43.gDNA,H1,ZymoMagbead-HT-Sand-1,3,,,,,,,,,0.01,,5.1,,,,Sample Well
gDNA - 2023-04-14 - 22.48.43.gDNA,A2,ZymoMagbead-HT-Sand-2,,100,8.5,8.5,,131,69,148,,1,,87.2,85.1,89.3,633.952,Lower Marker
gDNA - 2023-04-14 - 22.48.43.gDNA,A2,ZymoMagbead-HT-Sand-2,1,12322,5.54,,,0.691,5141,44682,100,0.65,57.6,48.3,45,52.2,173.041,
gDNA - 2023-04-14 - 22.48.43.gDNA,B2,ZymoMagbead-HT-Sand-3,,100,8.5,8.5,,131,68,170,,1,,86.7,83.9,88.8,827.206,Lower Marker
gDNA - 2023-04-14 - 22.48.43.gDNA,B2,ZymoMagbead-HT-Sand-3,1,14501,7.88,,,0.836,5235,51799,100,0.93,65.02,47.4,44.4,51.7,330.787,
gDNA - 2023-04-14 - 22.48.43.gDNA,C2,ZymoMagbead-HT-Clay-1,,100,8.5,8.5,,131,67,146,,1,,86.4,84.3,88.5,978.48,Lower Marker
gDNA - 2023-04-14 - 22.48.43.gDNA,C2,ZymoMagbead-HT-Clay-1,1,15598,10,,,0.986,5526,52903,100,1.18,72.17,47,44.1,51.2,522.977,
gDNA - 2023-04-14 - 22.48.43.gDNA,D2,ZymoMagbead-HT-Clay-2,,100,8.5,8.5,,131,68,147,,1,,85.5,83.4,87.5,706.99,Lower Marker
gDNA - 2023-04-14 - 22.48.43.gDNA,D2,ZymoMagbead-HT-Clay-2,1,11908,23.1,,,2.99,4620,28176,99.71,2.72,74.37,47.4,44.6,51.7,901.379,
gDNA - 2023-04-14 - 22.48.43.gDNA,D2,ZymoMagbead-HT-Clay-2,2,,,,,,,,,0.01,,5.2,,,,Sample Well
gDNA - 2023-04-14 - 22.48.43.gDNA,E2,ZymoMagbead-HT-Clay-3,,100,8.5,8.5,,131,68,146,,1,,86.8,84.7,88.8,518.606,Lower Marker
gDNA - 2023-04-14 - 22.48.43.gDNA,E2,ZymoMagbead-HT-Clay-3,1,11485,13.7,,,1.84,4775,27314,100,1.61,73.06,48.3,45.3,52.3,379.908,
gDNA - 2023-04-14 - 22.48.43.gDNA,F2,ZymoMagbead-HT-Beach-Sand-1,,100,8.5,8.5,,131,68,146,,1,,86.5,84.5,88.6,859.727,Lower Marker
gDNA - 2023-04-14 - 22.48.43.gDNA,F2,ZymoMagbead-HT-Beach-Sand-1,1,16005,1.23,,,0.118,6226,52903,100,0.14,47.25,47,44.2,50.6,56.333,
gDNA - 2023-04-14 - 22.48.43.gDNA,G2,ZymoMagbead-HT-Beach-Sand-2,,100,8.5,8.5,,131,65,152,,1,,85.8,83.6,88.2,1120.066,Lower Marker
gDNA - 2023-04-14 - 22.48.43.gDNA,G2,ZymoMagbead-HT-Beach-Sand-2,1,27092,2.1,,,0.119,8247,>60000,100,0.25,44.41,44.9,42,48.9,138.346,
gDNA - 2023-04-14 - 22.48.43.gDNA,H2,ZymoMagbead-HT-Beach-Sand-2,,100,8.5,8.5,,131,66,152,,1,,85.2,83,87.5,1228.105,Lower Marker
gDNA - 2023-04-14 - 22.48.43.gDNA,H2,ZymoMagbead-HT-Beach-Sand-3,1,20188,2.15,,,0.164,6631,>60000,98.81,0.25,51,45.5,42.8,49.5,158.803,
gDNA - 2023-04-14 - 22.48.43.gDNA,H2,ZymoMagbead-HT-Beach-Sand-3,2,,,,,,,,,0,,5,,,,Sample Well
