FileName,Well,Sample Description,Peak,Size [bp],Calibrated Conc. [ng/µl],Assigned Conc. [ng/µl],Peak Comment,Peak Molarity [nmol/l],From [bp],To [bp],% Integrated Area,Area,% of Total,Run Distance [%],From [%],To [%],Height,Observations
gDNA - 2023-04-14 - 22.22.48.gDNA,C2,,,100,8.50,8.50,,131,67,147,,1.00,,87.2,85.2,89.4,262.791,Lower Marker
gDNA - 2023-04-14 - 22.22.48.gDNA,C2,,1,9211,32.7,,,5.46,3950,24414,100.00,3.85,55.69,49.1,45.7,53.6,391.718,
gDNA - 2023-04-14 - 22.22.48.gDNA,D2,,,100,8.50,8.50,,131,67,145,,1.00,,86.4,84.4,88.5,304.325,Lower Marker
gDNA - 2023-04-14 - 22.22.48.gDNA,D2,,1,7878,34.6,,,6.76,3702,19918,100.00,4.07,55.85,49.1,46.0,53.9,495.108,
gDNA - 2023-04-14 - 22.22.48.gDNA,E2,,,100,8.50,8.50,,131,68,152,,1.00,,87.5,85.2,89.5,267.214,Lower Marker
gDNA - 2023-04-14 - 22.22.48.gDNA,E2,,1,8944,31.6,,,5.43,3852,25072,99.71,3.71,62.50,49.3,45.8,54.1,398.101,
gDNA - 2023-04-14 - 22.22.48.gDNA,E2,,2,,,,,,,,,0.01,,5.1,,,,Sample Well
gDNA - 2023-04-14 - 22.22.48.gDNA,F2,,,100,8.50,8.50,,131,67,149,,1.00,,87.0,84.8,89.1,828.761,Lower Marker
gDNA - 2023-04-14 - 22.22.48.gDNA,F2,,1,11176,0.721,,,0.0993,5303,27944,100.00,0.08,35.99,48.2,45.2,51.6,29.010,
gDNA - 2023-04-14 - 22.22.48.gDNA,G2,,,100,8.50,8.50,,131,67,150,,1.00,,87.1,84.9,89.3,958.790,Lower Marker
gDNA - 2023-04-14 - 22.22.48.gDNA,G2,,1,9882,0.199,,,0.0310,8657,22457,100.00,0.02,14.19,48.7,45.9,49.2,16.123,
gDNA - 2023-04-14 - 22.22.48.gDNA,H2,,,100,8.50,8.50,,131,67,145,,1.00,,87.2,85.2,89.4,918.416,Lower Marker
gDNA - 2023-04-14 - 22.22.48.gDNA,H2,,1,11015,1.06,,,0.148,5334,29690,100.00,0.12,27.99,48.4,45.2,51.7,46.566,
